[memory ][Fri Jul 23 03:18:59 2021][18813] GC mode: Garbage collection optimized for throughput, strategy: Generational Parallel Mark & Sweep.
[memory ][Fri Jul 23 03:18:59 2021][18813] Heap size: 8388608KB, maximal heap size: 8388608KB, nursery size: 4194304KB.
[memory ][Fri Jul 23 03:18:59 2021][18813] <start>-<end>: <type> <before>KB-><after>KB (<heap>KB), <time> ms, sum of pauses <pause> ms.
[memory ][Fri Jul 23 03:18:59 2021][18813] <start>  - start time of collection (seconds since jvm start).
[memory ][Fri Jul 23 03:18:59 2021][18813] <type>   - OC (old collection) or YC (young collection).
[memory ][Fri Jul 23 03:18:59 2021][18813] <end>    - end time of collection (seconds since jvm start).
[memory ][Fri Jul 23 03:18:59 2021][18813] <before> - memory used by objects before collection (KB).
[memory ][Fri Jul 23 03:18:59 2021][18813] <after>  - memory used by objects after collection (KB).
[memory ][Fri Jul 23 03:18:59 2021][18813] <heap>   - size of heap after collection (KB).
[memory ][Fri Jul 23 03:18:59 2021][18813] <time>   - total time of collection (milliseconds).
[memory ][Fri Jul 23 03:18:59 2021][18813] <pause>  - total sum of pauses during collection (milliseconds).
[memory ][Fri Jul 23 03:18:59 2021][18813]            Run with -Xverbose:gcpause to see individual phases.
[memory ][Fri Jul 23 03:18:59 2021][18813] Running on hypervisor Unknown (but probably running on a hypervisor)
[memory ][Fri Jul 23 03:29:47 2021][18813] [YC#27] 647.792-647.818: YC 6147377KB->3004695KB (8388608KB), 0.026 s, sum of pauses 25.826 ms, longest pause 25.826 ms.
[memory ][Fri Jul 23 03:30:00 2021][18813] [OC#1] 660.451-660.971: OC 5170749KB->911326KB (8388608KB), 0.521 s, sum of pauses 496.982 ms, longest pause 496.982 ms.
[memory ][Fri Jul 23 03:30:04 2021][18813] [OC#2] 660.973-665.054: OC 924152KB->907958KB (8388608KB), 4.081 s, sum of pauses 4060.094 ms, longest pause 4060.094 ms.
[memory ][Fri Jul 23 03:30:29 2021][18813] [YC#28] 689.474-689.516: YC 4660706KB->1857725KB (8388608KB), 0.042 s, sum of pauses 42.114 ms, longest pause 42.114 ms.
[memory ][Fri Jul 23 03:30:46 2021][18813] [YC#29] 706.141-706.169: YC 4669058KB->1873224KB (8388608KB), 0.028 s, sum of pauses 27.523 ms, longest pause 27.523 ms.
[memory ][Fri Jul 23 03:31:01 2021][18813] [YC#30] 721.689-721.721: YC 4683318KB->1887161KB (8388608KB), 0.032 s, sum of pauses 31.673 ms, longest pause 31.673 ms.
[memory ][Fri Jul 23 03:31:17 2021][18813] [YC#31] 738.091-738.116: YC 4694057KB->1898169KB (8388608KB), 0.025 s, sum of pauses 25.146 ms, longest pause 25.146 ms.
[memory ][Fri Jul 23 03:31:33 2021][18813] [YC#32] 753.772-753.794: YC 4708879KB->1907795KB (8388608KB), 0.022 s, sum of pauses 21.527 ms, longest pause 21.527 ms.
[memory ][Fri Jul 23 03:31:49 2021][18813] [YC#33] 770.046-770.068: YC 4714905KB->1915744KB (8388608KB), 0.021 s, sum of pauses 20.947 ms, longest pause 20.947 ms.
[memory ][Fri Jul 23 03:32:05 2021][18813] [YC#34] 785.479-785.515: YC 4725884KB->1929157KB (8388608KB), 0.036 s, sum of pauses 35.924 ms, longest pause 35.924 ms.
[memory ][Fri Jul 23 03:32:20 2021][18813] [YC#35] 800.549-800.591: YC 4740459KB->1946773KB (8388608KB), 0.041 s, sum of pauses 40.816 ms, longest pause 40.816 ms.
[memory ][Fri Jul 23 03:32:36 2021][18813] [YC#36] 816.783-816.812: YC 4754406KB->1969860KB (8388608KB), 0.029 s, sum of pauses 29.177 ms, longest pause 29.177 ms.
[memory ][Fri Jul 23 03:32:53 2021][18813] [YC#37] 833.144-833.164: YC 4776972KB->1973780KB (8388608KB), 0.020 s, sum of pauses 19.983 ms, longest pause 19.983 ms.
[memory ][Fri Jul 23 03:33:08 2021][18813] [YC#38] 849.022-849.048: YC 4783509KB->1982276KB (8388608KB), 0.026 s, sum of pauses 25.922 ms, longest pause 25.922 ms.
[memory ][Fri Jul 23 03:33:25 2021][18813] [YC#39] 865.185-865.213: YC 4790115KB->1994644KB (8388608KB), 0.028 s, sum of pauses 27.884 ms, longest pause 27.884 ms.
[memory ][Fri Jul 23 03:33:41 2021][18813] [YC#40] 881.362-881.386: YC 4803371KB->2000678KB (8388608KB), 0.023 s, sum of pauses 22.892 ms, longest pause 22.892 ms.
[memory ][Fri Jul 23 03:33:56 2021][18813] [YC#41] 896.866-896.890: YC 4809821KB->2012628KB (8388608KB), 0.024 s, sum of pauses 23.687 ms, longest pause 23.687 ms.
